City_locality,iso3,country,super_region,super_region_name,pm25,sat_2014
Namkham,MMR,Myanmar,6,SE-Asia/E-Asia/Oceania,71,28.9439926147461
Namthu,MMR,Myanmar,6,SE-Asia/E-Asia/Oceania,17,27.440502166748
Nan,THA,Thailand,6,SE-Asia/E-Asia/Oceania,25,38.890998840332
NANAIMO,CAN,Canada,1,HighIncome,6,3.35500049591064
Nanchang,CHN,China,6,SE-Asia/E-Asia/Oceania,48.5555555555556,58.4020512898763
Nanchong,CHN,China,6,SE-Asia/E-Asia/Oceania,57.1666666666667,72.9210866292318
NANCY,FRA,France,1,HighIncome,13.5,16.2150020599365
Nanded,IND,India,3,S-Asia,28,42.7589988708496
Nanjing,CHN,China,6,SE-Asia/E-Asia/Oceania,72.3333333333333,83.7416703965929
Nanning,CHN,China,6,SE-Asia/E-Asia/Oceania,47.25,56.2023077011108
NANTES,FRA,France,1,HighIncome,12.6666666666667,11.9080009460449
Nantong,CHN,China,6,SE-Asia/E-Asia/Oceania,59.8,84.3774948120117
Nantou,CHN,China,6,SE-Asia/E-Asia/Oceania,33.5,7.53174996376038
"Napa, CA",USA,United States of America,1,HighIncome,12,5.80550003051758
Napier,NZL,New Zealand,1,HighIncome,6,2.64999747276306
NAPOLI,ITA,Italy,1,HighIncome,17.25,16.1121226549149
Narathiwat,THA,Thailand,6,SE-Asia/E-Asia/Oceania,16,14.574499130249
Narayangonj,BGD,Bangladesh,3,S-Asia,106,57.9784927368164
NARVA,EST,Estonia,4,E-Eur/C-Eur/C-Asia,8,12.5330028533936
Nashik,IND,India,3,S-Asia,51,38.7425003051758
"Nashville-Davidson-Murfreesboro-Franklin, TN",USA,United States of America,1,HighIncome,10.3333333333333,8.25966707865397
NAUJOJI AKMENE,LTU,Lithuania,4,E-Eur/C-Eur/C-Asia,16,14.8804979324341
Navi Mumbai,IND,India,3,S-Asia,64.1666666666667,40.9074974060059
Naya Nangal,IND,India,3,S-Asia,47.5,61.2714996337891
Nellore,IND,India,3,S-Asia,33,32.3829956054688
NELSON,CAN,Canada,1,HighIncome,8,3.2449996471405
Nelson Airshed A,NZL,New Zealand,1,HighIncome,9,2.85650229454041
Nelson Airshed B,NZL,New Zealand,1,HighIncome,10,2.85650229454041
Nesher,ISR,Israel,1,HighIncome,12,27.7604999542236
NETTETAL,DEU,Germany,1,HighIncome,15,17.1425018310547
NEU-ULM,DEU,Germany,1,HighIncome,16,19.126501083374
